c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,tls_session_stat:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131,c_TLSvers:132,s_TLSvers:133,dns_enc:134,browser,website,behaviour
6.285714285714286,1.0,4.285714285714286,1.5714285714285714,1105.7142857142858,1.8571428571428572,1105.7142857142858,0.0,0.0,0.0,1.0,0.8571428571428571,4.142857142857143,0.0,4.142857142857143,1.4285714285714286,3067.8571428571427,1.7142857142857142,3067.8571428571427,0.0,0.0,0.0,1.0,0.0,1704403176116.3313,1704403176207.7307,91.39942857142857,24.489428571428572,53.156857142857135,47.626714285714286,89.55457142857142,24.35814285714286,50.93642857142857,1.0,1.0,0.0,0.0,7021.714285714285,0.0,0.0,26.929829,25.84871428571429,28.29371428571429,1.2531741428571428,2.5714285714285716,64.0,64.0,0.013332428571428573,0.00957142857142857,0.017142857142857144,0.0002182857142857143,1.5714285714285714,159.85714285714286,159.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,842.0,193.85714285714286,64253.71428571428,63956.57142857143,0.0,863.8571428571429,193.85714285714286,474.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.142857142857142,1.0,0.0,1419.4285714285713,2775.0,1646.5714285714287,85288.0,63450.857142857145,0.0,2839.1428571428573,1646.5714285714287,2237.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,1.4285714285714286,0.0,0.0,137.14285714285714,13.714285714285714,0.8571428571428571,47.59071428571429,53.354285714285716,40.28485714285715,80.13614285714286,255.0,820.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chrome,amazon,gta6
9.25,0.25,8.0,3.5,2554.25,3.5,2554.25,0.0,0.0,0.0,1.0,1.0,6.0,0.0,6.0,1.75,2287.5,2.5,2287.5,0.0,0.0,0.0,1.0,0.75,1704403189547.471,1704403191319.621,1772.15,50.55725,107.48125,1699.6064999999999,1721.47625,50.382,107.48125,1.0,1.0,0.0,0.0,8192.0,0.0,0.0,52.3116675,44.661,58.84425,5.629560250000001,4.25,64.0,64.0,0.06983175,0.014499999999999999,0.2715,0.10492049999999999,3.75,236.5,236.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,1400.25,61.5,64256.0,63360.0,0.0,1438.5,61.5,574.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1452.0,837.0,129.75,62643.0,60192.0,0.0,1676.75,129.75,1676.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.25,0.0,0.0,160.0,32.0,1.0,108.48024999999998,119.32775000000001,108.90625,51.338,636.75,1572.75,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,chrome,amazon,gta6
7.5,1.0,5.5,2.3333333333333335,1304.3333333333333,2.1666666666666665,1304.3333333333333,0.0,0.0,0.0,1.0,1.0,5.5,0.0,5.5,1.6666666666666667,3916.8333333333335,2.6666666666666665,3916.8333333333335,0.0,0.0,0.0,1.0,0.16666666666666666,1704403370485.5889,1704403370594.6628,109.07383333333333,29.708333333333332,61.88883333333333,58.51066666666666,109.05633333333333,29.455666666666662,61.76883333333333,1.0,1.0,0.0,0.0,8192.0,0.0,0.0,30.707311333333333,29.279,32.55533333333333,1.2495460000000003,2.8333333333333335,64.0,64.0,0.054289166666666666,0.023166666666666665,0.09066666666666667,0.009314833333333333,2.3333333333333335,240.5,240.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,982.1666666666666,220.83333333333334,64256.0,63402.666666666664,0.0,1007.6666666666666,220.83333333333334,567.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,1446.0,2997.8333333333335,417.3333333333333,64857.5,63103.5,0.0,3237.1666666666665,431.3333333333333,1744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,2.3333333333333335,0.0,0.0,160.0,16.0,1.0,57.9335,62.949666666666666,49.222833333333334,99.0815,312.0,957.1666666666666,0.0,0.0,0.0,0.0,0.0,0.0,303.5,0.0,chrome,amazon,gta6
5.428571428571429,1.0,3.4285714285714284,1.1428571428571428,1002.5714285714286,1.5714285714285714,1002.5714285714286,0.0,0.0,0.0,1.0,0.7142857142857143,3.5714285714285716,0.0,3.5714285714285716,1.1428571428571428,2299.4285714285716,1.4285714285714286,2299.4285714285716,0.0,0.0,0.0,1.0,0.0,1704403381352.8726,1704403381440.25,87.37771428571429,23.65085714285714,48.275285714285715,45.17357142857143,83.86942857142857,23.493428571428574,47.043,1.0,1.0,0.0,0.0,5851.428571428572,0.0,0.0,27.229922142857138,26.492,28.13857142857143,0.5598864285714286,2.0,64.0,64.0,0.023141142857142857,0.020285714285714285,0.026,0.0,1.1428571428571428,241.71428571428572,241.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,755.8571428571429,177.42857142857142,64251.42857142857,64192.0,0.0,777.7142857142857,177.42857142857142,380.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.142857142857142,1.0,0.0,1433.142857142857,2104.285714285714,1290.857142857143,65084.0,63962.857142857145,0.0,2232.5714285714284,1290.857142857143,1290.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,1.2857142857142858,0.0,0.0,114.28571428571429,13.714285714285714,0.7142857142857143,44.755857142857145,48.275285714285715,40.85242857142857,75.25528571428572,247.14285714285714,67.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chrome,amazon,gta6
7.333333333333333,0.5,5.833333333333333,2.5,1298.8333333333333,2.3333333333333335,1298.8333333333333,0.0,0.0,0.0,1.0,1.0,5.333333333333333,0.0,5.333333333333333,1.8333333333333333,2848.5,1.8333333333333333,2848.5,0.0,0.0,0.0,1.0,0.6666666666666666,1704403197819.0027,1704403197917.8704,98.86733333333332,28.506,61.0545,59.399166666666666,63.965166666666654,28.339166666666667,58.86033333333333,1.0,1.0,0.0,0.0,8192.0,0.0,0.0,29.409140500000003,28.31116666666667,30.789666666666665,0.934787,3.1666666666666665,64.0,64.0,0.023776500000000002,0.012500000000000002,0.03216666666666667,0.009015166666666666,2.5,177.33333333333334,177.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,969.8333333333334,133.0,64256.0,63357.333333333336,0.0,995.3333333333334,133.0,551.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,1415.0,2610.6666666666665,127.0,89266.16666666667,64212.833333333336,0.0,2630.0,1031.0,2630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.6666666666666667,0.0,0.0,160.0,16.0,1.0,59.202999999999996,61.241166666666665,47.183,7.4638333333333335,308.1666666666667,878.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,303.5,0.0,chrome,amazon,gta6
5.75,1.0,3.75,1.375,971.25,1.625,971.25,0.0,0.0,0.0,1.0,0.75,4.125,0.0,4.125,1.375,2518.25,1.625,2518.25,0.0,0.0,0.0,1.0,0.125,1704403392197.0637,1704403392278.5366,81.47275,22.269875,46.709125,43.732,78.379875,22.125999999999998,46.09975,1.0,1.0,0.0,0.0,6144.0,0.0,0.0,25.892359374999998,24.965875,27.1105,1.0141556250000001,2.375,64.0,64.0,0.01377,0.010875,0.01625,0.001063125,1.375,194.25,194.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,740.5,169.625,64252.0,63880.0,0.0,759.625,169.625,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.25,1.0,0.0,1429.5,2284.125,1132.5,73922.875,63711.375,0.0,2456.75,1132.5,1826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.5,0.0,0.0,120.0,12.0,0.75,43.569874999999996,46.709125,36.863375,71.616875,223.125,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chrome,amazon,gta6
7.0,1.0,5.0,2.6666666666666665,578.0,1.3333333333333333,578.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,6.0,1.3333333333333333,5440.666666666667,3.6666666666666665,5440.666666666667,0.0,0.0,0.0,1.0,0.0,1704403400884.6582,1704403400919.7312,35.073,13.908666666666667,29.257,19.746333333333332,35.062999999999995,13.671666666666667,28.298999999999996,1.0,1.0,0.0,0.0,8192.0,0.0,0.0,13.702829666666666,11.966,15.643,0.7547433333333333,2.3333333333333335,64.0,64.0,0.015666333333333334,0.006666666666666667,0.027333333333333334,0.003464,2.6666666666666665,181.33333333333334,181.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,556.6666666666666,377.3333333333333,64256.0,63744.0,0.0,556.6666666666666,377.3333333333333,556.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,1420.0,2813.3333333333335,388.3333333333333,90794.66666666667,65535.0,0.0,3181.0,1434.0,2337.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,0.0,160.0,0.0,1.0,19.746333333333332,31.033,0.0,13.937333333333333,0.0,1757.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,chrome,amazon,gta6
7.25,1.0,5.25,1.75,1668.25,2.5,1668.25,0.0,0.0,0.0,1.0,1.0,5.5,0.0,5.5,1.75,3629.0,2.75,3629.0,0.0,0.0,0.0,1.0,0.0,1704403417010.4858,1704403417147.665,137.179,35.0065,73.53375,68.93575,137.15575,34.86275,73.01625,1.0,1.0,0.0,0.0,8192.0,0.0,0.0,36.54798025,34.82725000000001,38.29325,0.252297,2.25,64.0,64.0,0.02612325,0.01675,0.035500000000000004,0.0,1.75,238.25,238.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,1201.0,188.75,64256.0,64156.0,0.0,1239.25,188.75,579.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5,1.0,0.0,1362.5,2836.75,363.75,65288.0,64447.75,0.0,3512.0,1188.0,1434.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.75,0.0,0.0,160.0,24.0,1.0,68.8115,73.53399999999999,66.1665,129.48075,468.0,117.75,0.0,0.0,0.0,0.0,0.0,0.0,303.25,0.0,chrome,amazon,gta6
6.2,1.0,4.2,1.4,1337.2,2.0,1337.2,0.0,0.0,0.0,1.0,0.8,4.6,0.0,4.6,1.6,2940.2,2.0,2940.2,0.0,0.0,0.0,1.0,0.0,1704403426947.2622,1704403427064.4133,117.151,29.527200000000004,64.635,57.602199999999996,114.7136,29.352600000000002,59.532999999999994,1.0,1.0,0.0,0.0,6553.6,0.0,0.0,32.19774819999999,30.822000000000003,33.968,1.0102482000000002,2.4,64.0,64.0,0.020899,0.0132,0.028599999999999997,0.0,1.4,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,963.4,153.6,64252.8,64172.8,0.0,994.0,153.6,466.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.8,1.0,0.0,1414.0,2503.8,1184.8,79078.0,63922.8,0.0,2846.6,1184.8,1184.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,128.0,19.2,0.8,57.53420000000001,64.635,54.2306,104.1194,374.4,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chrome,amazon,gta6
8.285714285714286,0.8571428571428571,6.428571428571429,3.0,1220.2857142857142,2.4285714285714284,1220.2857142857142,0.0,0.0,0.0,1.0,1.0,5.857142857142857,0.0,5.857142857142857,1.7142857142857142,3655.285714285714,2.857142857142857,3655.285714285714,0.0,0.0,0.0,1.0,0.2857142857142857,1704403437064.9517,1704403437166.1858,101.23414285714284,26.884285714285713,57.720571428571425,59.44742857142857,88.44085714285714,26.655714285714282,56.986000000000004,1.0,1.0,0.0,0.0,8192.0,0.0,0.0,27.511706428571426,25.329857142857147,30.736142857142855,2.8769471428571434,3.142857142857143,64.0,64.0,0.04633171428571429,0.009142857142857144,0.07357142857142858,0.03301057142857143,3.0,214.28571428571428,214.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1460.0,937.0,58.42857142857143,64256.0,63030.857142857145,0.0,958.8571428571429,58.42857142857143,561.5714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.142857142857142,1.0,0.0,1436.5714285714287,2688.285714285714,120.85714285714286,75340.71428571429,63450.857142857145,0.0,3049.8571428571427,132.85714285714286,2635.8571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,2.5714285714285716,0.0,0.0,160.0,13.714285714285714,1.0,59.24999999999999,57.81542857142857,38.844857142857144,75.789,247.14285714285714,3100.4285714285716,0.0,0.0,0.0,0.0,0.0,0.0,303.57142857142856,0.0,chrome,amazon,gta6
